SKU,NAME ,Thikness_mm,Length_m,Tipo,Familia ,Sub_Familia,unit_base,Largo_min_max,cost_sin_iva,sale_sin_iva,sale_iva_inc,web_sin_iva,web_iva_inc
,,,,,,,,,,,,,
,"ISOROOF  / ISOROOF FOIL / ISOROOF PLUS- 3,5 min",,,,,,,,,,,,
PU50MM,Perfil Ch. Blanco U 50 mm x 35 mm / 3 m (ISOWALL - ISOPANEL),50.00,3.00,Perfileria / Terminaciones ,ISOWALL-ISOPANEL, PIR / EPS ,unit,3.00,8.33,10.00,12.20,11.66,14.23
PU50MM,Perfil Ch. Blanco U 60 mm x 35 mm ISOFRIG / 3 m,60.00,3.00,Perfileria / Terminaciones ,ISOFRIG,PIR,unit,3.00,10.16,12.19,14.87,14.22,17.35
PU50MM,Perfil Ch. Blanco U 80 mm x 35 mm ISOWALL / 3 m,80.00,3.00,Perfileria / Terminaciones ,ISOWALL,PIR,unit,3.00,10.93,13.12,16.00,15.30,18.67
PU100MM,Perfil Ch. Blanco U 100 mm x 35 mm / 3 m,100.00,3.00,Perfileria / Terminaciones ,ISOPANEL EPS & PIR / ISOFRIG / ISOWALL ,EPS ,unit,3.00,10.35,12.42,15.15,14.49,17.68
PU150MM,Perfil Ch. Blanco U 150 mm x 35 mm / 3 m,150.00,3.00,Perfileria / Terminaciones ,ISOPANEL ,EPS ,unit,3.00,11.64,13.97,17.04,16.30,19.88
PU200MM,Perfil Ch. Blanco U 200 mm x 35 mm / 3 m,200.00,3.00,Perfileria / Terminaciones ,ISOPANEL ,EPS ,unit,3.00,14.52,17.42,21.26,20.33,24.80
PU250MM,Perfil Ch. Blanco U 250 mm x 35 mm / 3 m,250.00,3.00,Perfileria / Terminaciones ,ISOPANEL ,EPS ,unit,3.00,17.45,20.94,25.55,24.43,29.80
,,,,,,,,,,,,,
,Accesorios Varios,,,,,,,,,,,,
,Perfil Chapa Blanco G2 100 / 3 m,100,3.00,Perfileria / Terminaciones ,ISOPANEL / ISODEC,EPS ,unit,3.00,12.79,15.35,18.72,17.91,21.85
,Perfil Chapa Blanco G2 150 / 3 m,150.00,3.00,Perfileria / Terminaciones ,ISOPANEL / ISODEC,EPS ,unit,3.00,14.68,17.62,21.49,20.55,25.07
,Perfil Chapa Blanco G2 200 / 3 m,200.00,3.00,Perfileria / Terminaciones ,ISOPANEL / ISODEC,EPS ,unit,3.00,17.61,21.13,25.78,24.65,30.08
,Perfil Chapa Blanco G2 250 / 3 m,250.00,3.00,Perfileria / Terminaciones ,ISOPANEL / ISODEC,EPS ,unit,3.00,17.75,21.30,25.99,24.85,30.32
,Plegado G4 40 mm x 40 mm (Exterior),Estandar ,3.00,Perfileria / Terminaciones ,ISOPANEL / ISODEC,Estandar ,unit,3.00,11.04,13.25,16.16,15.46,18.86
,Perfil K2 sin repliegue para Siliconar (Ángulo interior),Estandar ,3.00,Perfileria / Terminaciones ,ISOPANEL / ISODEC / ISOROOF,Estandar ,unit,3.00,8.74,10.49,12.80,12.24,14.93
,Perfil Chapa Blanca K2,Estandar ,3.00,Perfileria / Terminaciones ,ISOPANEL / ISODEC,Estandar ,unit,3.00,8.74,10.49,12.80,12.24,14.93
,"Perfil Alu 5852 Anodizado de 6,8 m de largo",Estandar ,6.80,Perfileria / Terminaciones ,ISOPANEL / ISODEC / ISOROOF,Estandar ,unit,6.80,52.70,63.24,77.15,73.78,90.01
PLEGU148,Plegado Galv. Tipo U 148 mm / 2 m de largo,Estandar ,2.00,Perfileria / Terminaciones ,ISOPANEL / ISODEC,Estandar ,unit,2.00,23.72,28.46,34.73,33.21,40.51
PLECHU98,Plegado Galv. Tipo U 98 mm / 2 m de largo,Estandar ,2.00,Perfileria / Terminaciones ,ISOPANEL / ISODEC ,Estandar ,unit,2.00,18.17,21.80,26.60,25.44,31.03
,"PERFIL ALU 2195 U 100 / 6,8m",Estandar ,6.80,Perfileria / Terminaciones ,ISOPANEL / ISODEC / ISOROOF,Estandar ,unit,6.80,64.96,77.95,95.10,90.94,110.95
,,,,,,,,,,,,,
