1,,  ,,Producto,Costo m2 U$S + IVA,Con AUMENTO,Proximo AUMENTO,Margen %,,Ganancia,Venta + IVA,CONSUMIDOR IVA INC.,,METRO LINEAL / 3,Precio ML,Ganancia ML,,WEB Venta + IVA,WEB Venta IVA inc. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Actualizar oficialmente,Con AUMENTO,Proximo AUMENTO,Por actualizar,,,,,,,,,,,,,,Precio m lineal,,,,,,,,,,,,,,,,,,,,
Shopify ,Notas,,,"ISOROOF  / ISOROOF FOIL / ISOROOF PLUS- 3,5 min",pre - Actualizado,1.0335,1.1000,Actualizad,,,Precio + IVA,IVA inc.,,,,,,,,Precio + IVA,Metros de chapas disponibles para cortar,1.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,10.50,11.00,11.50,12.00,12.50,13.00
Fata foto,,,6847,Perfil Cumbrera,23.37,24.15,26.57,20%,,4.6735,28.04,34.21,37.63091732,9.346974,39.68,5.47,,32.71,39.91,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,6828,Babeta ISODEC de Adosar ,12.09,12.49,13.74,20%,,2.4179,14.51,17.70,19.46904828,4.83582918,20.53,2.83,,16.93,20.65,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,6865,Babeta ISODEC de empotrar,12.09,12.49,13.74,20%,,2.4179,14.51,17.70,19.46904828,4.83582918,20.53,2.83,,16.93,20.65,,,,,,,,,,,,,,,,,,,,,,,
NO SUBIR,,,6825,Vaina ISODEC Sist 2000,9.00,9.30,10.23,20%,,1.8005,10.80,13.18,14.49780604,3.60104472,15.29,2.11,,12.60,15.38,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,CAN.ISDC120,Canalón Isodec 50mm ISODEC PIR,77.72,80.32,88.35,20%,,15.5430,93.26,113.78,125.1525087,31.08606774,131.98,18.20,,108.80,132.74,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,CAN.ISDC120,Canalón Isodec 80mm ISODEC PIR,77.72,80.32,88.35,20%,,15.5430,93.26,113.78,125.1525087,31.08606774,131.98,18.20,,108.80,132.74,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,6801,Canalón Estandar 100 mm,68.96,71.27,78.40,20%,,13.7917,82.75,100.96,111.0508176,27.58341222,117.11,16.15,,96.54,117.78,,#ERROR!,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,CAN.ISDC120,Canalón Isodec 120mm ISODEC PIR,77.72,80.32,88.35,20%,,15.5430,93.26,113.78,125.1525087,31.08606774,131.98,18.20,,108.80,132.74,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,6802,Canalón Estandar 150 mm,70.43,72.79,80.07,20%,,14.0869,84.52,103.12,113.4275071,28.17374742,119.61,16.50,,98.61,120.30,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,6803,Canalón Estandar 200 mm,79.07,81.72,89.89,20%,,15.8136,94.88,115.76,127.3311408,31.62720834,134.28,18.52,,110.70,135.05,,,,,,,,,,,,,,,,,,,,,,,
